Redshift (z)	distance modulus (m-M)	1-sigma error							
0.015	34.16350389	0.161452857							
0.015	34.11141096	0.21338887							
0.015	34.3797728	0.217348535							
0.015027043	33.9501915	0.178117024							
0.0151	34.52587529	0.213682161							
0.015166	34.10166662	0.215239341							distance modulus
0.0152	34.0169043	0.215071231							(m-M)
0.0152	34.25836979	0.241474862							
0.0153	34.70718573	0.213242896							
0.0154363	33.9409484	0.14869411							
0.016	33.82460889	0.207959703							
0.016	34.17401539	0.221115375							
0.0163	34.45325291	0.212891043							
0.016321	34.01742111	0.204965074							
0.016345641	34.04402778	0.142912931							
0.01645	34.18129629	0.25089656							
0.016559	34.34383381	0.251177496							
0.01673	34.22633717	0.20946467							
0.016743	34.0027278	0.248385126							
0.017173	34.26067146	0.248216009							
0.017227	34.65436995	0.19933718							
0.0173	34.2497348	0.2155085							
0.0173	34.23006604	0.220994474							
0.017605	34.3437957	0.271650645							
0.017931283	34.34982	0.155413941							
0.018315232	34.3717549	0.160464926							
0.0187	35.04829985	0.197196789							
0.0189	34.37470166	0.20957163							
0.0192	34.49156233	0.197091648							
0.0192	34.73667845	0.197842881							
0.019264	34.95261373	0.240633817							
0.0195	34.75691168	0.197526188							
0.019599	34.58521743	0.18469122							
0.020374725	34.65644385	0.14560335							
0.0205	34.61728007	0.191412743							
0.0208	34.79545637	0.201629405							
0.0209	34.7028985	0.194226935							
0.0211	34.66071824	0.188393368							
0.0212	34.84713453	0.191529722							
0.0215	34.93273633	0.187040818							
0.021793	34.97378687	0.232449383							
0.0219	34.84899048	0.188387184							
0.021980006	34.85297336	0.187544764							
0.0221	34.9221291	0.189014756							
0.0221	34.91154976	0.189960683							
0.0224	34.9470872	0.239011369							
0.0229	35.13862607	0.18301804							
0.0229	35.19686717	0.185459075							
0.022971168	35.13388295	0.135640926							
0.023	35.0706425	0.186848385							
0.023208	35.08554272	0.231479605							
0.0233	34.88212867	0.183424685							
0.0233	35.19835742	0.185738575							
0.023536	35.16959909	0.234698202							
0.0239	35.03497414	0.181392417							
0.023953	34.96871038	0.107041197							
0.024	35.17618578	0.195512674							
0.024185299	35.05232428	0.133368622							
0.0242	35.18938058	0.180174916							
0.024314	35.10949506	0.181662706							
0.024525	35.05817066	0.102438504							
0.0247	34.91369283	0.181621012							
0.0248	35.25617751	0.184605303							
0.0249	34.80370708	0.193523924							
0.0251	34.94827524	0.1792227							
0.0255	35.72017314	0.196167302							
0.0256	35.68472179	0.186173892							
0.0259	35.41596869	0.178489659							
0.026	35.38129323	0.183933665							
0.026038	35.36726207	0.108499792							
0.0261	35.36041779	0.192469562							
0.026489	35.4806852	0.19131227							
0.0266	35.32349359	0.177716836							
0.026809197	35.26015054	0.127879596							
0.027342	35.08576569	0.175510836							
0.0275	35.64970591	0.176364689							
0.027568726	35.47547181	0.128117983							
0.0277	35.70500377	0.183298735							
0.027865	35.09337833	0.222426417							
0.0283	35.52026995	0.180124446							
0.028396027	35.54814847	0.125198882							
0.028488	35.34658339	0.223905933							
0.0292	35.99256678	0.174820108							
0.029802137	35.47092171	0.122226818							
0.029955	35.97225783	0.224368552							
0.0303	35.62826135	0.176747386							
0.030529	35.59924572	0.088750664							
0.030604	35.55023776	0.173295444							
0.0308	35.59350422	0.172493084							
0.0308	35.77913624	0.173310005							
0.0308	35.62898081	0.178370444							
0.0309	35.92947288	0.183689296							
0.0312	35.88285856	0.173762463							
0.0312	35.62680976	0.180216697							
0.0315	35.65113634	0.170993524							
0.031528	35.72876878	0.225362489							
0.032	35.58849732	0.173446311							
0.032	35.82669134	0.193104692							
0.0321	35.87036183	0.173741008							
0.0321	35.89599457	0.17384516							
0.0321	35.64807683	0.175025423							
0.032134017	35.37812789	0.12751209							
0.0325	35.81309142	0.170394736							
0.0327	36.09416721	0.169492305							
0.0329	35.94176854	0.170393176							
0.032912371	35.96785202	0.118114324							
0.0334	35.8799403	0.175772733							
0.0335	35.97383254	0.170490252							
0.0336	36.00539455	0.188520474							
0.0337	35.84369332	0.179737454							
0.0341	35.94254084	0.172834592							
0.0341	35.8419047	0.175222462							
0.0341	35.77047476	0.177569141							
0.0345	35.97824448	0.211562474							
0.03572	35.96054064	0.171186987							
0.036	35.8210171	0.16788525							
0.036	36.14629886	0.177000364							
0.036	35.67925968	0.179022122							
0.0362	35.9868706	0.171742204							
0.036457	36.13423313	0.217628588							
0.03648	35.90532197	0.170174953							
0.0366	35.97129065	0.168963688							
0.0377	35.79521443	0.294106561							
0.0393	36.33439501	0.099100528							
0.0402	36.37453308	0.17063735							
0.0406	36.36563513	0.172317345							
0.0421	36.40046503	0.169930417							
0.042233	36.33645955	0.167174042							
0.0423	36.3928259	0.171582197							
0.0425	35.92810181	0.195296013							
0.043718911	36.38656602	0.127214293							
0.044976673	36.55039542	0.108342547							
0.045295	36.64027218	0.164981249							
0.046967335	36.49441345	0.110309142							
0.048392195	36.68583438	0.119215628							
0.048818	36.38201078	0.160299265							
0.048948	36.7315974	0.172547619							
0.0491	36.73013588	0.175843223							
0.049922	36.56697347	0.16230382							
0.050043	36.68236792	0.166828851							
0.0522	36.67431461	0.189117803							
0.052926	36.81769125	0.155755915							
0.05371	36.47643849	0.221700261							
0.0544	36.95443541	0.086095353							
0.0546	36.60955851	0.176655181							
0.056683367	36.96362307	0.110070938							
0.0576	37.08025666	0.161852672							
0.0583	37.05828815	0.168089681							
0.0583	37.03263017	0.206256669							
0.0589	37.11164751	0.165682351							
0.061835765	37.13099448	0.115680071							
0.062668	37.48340935	0.156099435							
0.063864084	37.31594161	0.119614965							
0.0643	37.17550222	0.16600801							
0.0651	37.3066908	0.162808584							
0.066440312	37.37210505	0.117582401							
0.0684	37.73119698	0.170591643							
0.0688	37.48663565	0.198025809							
0.069	37.56604798	0.17616364							
0.070086	37.44673654	0.158466934							
0.074605	37.58811576	0.159770865							
0.075350112	37.58008992	0.102274673							
0.0784	37.68224045	0.087216805							
0.078577	37.48816226	0.155635656							
0.080048144	37.68570934	0.101968492							
0.0843	38.05183112	0.200253645							
0.085689459	37.99741341	0.11636528							
0.085696117	37.99379171	0.117971238							
0.085854644	37.95244412	0.112589853							
0.087589	38.22905705	0.187745679							
0.089019429	37.82845293	0.117432705							
0.092936818	38.14583004	0.118950356							
0.093149403	38.28091373	0.11445383							
0.093908632	38.17282051	0.117952906							
0.100915	38.4567456	0.167333482							
0.102715034	38.48725959	0.119892508							
0.10671234	38.6366669	0.117621429							
0.108638266	38.6505002	0.119489655							
0.113042645	38.55145413	0.119237438							
0.114712621	38.66909512	0.113372328							
0.116348503	38.74613817	0.112296117							
0.117277363	38.74593382	0.113702596							
0.117625329	38.57941851	0.113609963							
0.119671538	38.75553812	0.110740034							
0.1228289	38.7997897	0.121065439							
0.1241	38.8220334	0.111614247							
0.124273529	38.7199869	0.111134859							
0.1244	39.04478851	0.164268688							
0.126473162	38.71046918	0.119200795							
0.126687989	38.91520843	0.123937308							
0.128726735	38.86422531	0.10951334							
0.129278207	38.91800095	0.134402616							
0.1299	38.97918547	0.129444952							
0.141787999	39.27381133	0.119521983							
0.142404652	39.11647725	0.113661194							
0.143705907	39.18577065	0.116311968							
0.1441	38.8360423	0.156777492							
0.144621086	39.29082977	0.112727024							
0.145668547	39.0567157	0.125750126							
0.146290296	39.55900955	0.120248735							
0.147025138	39.30358397	0.111657297							
0.151857895	39.15578836	0.113847312							
0.154632097	39.32395023	0.112047394							
0.155247328	39.31732041	0.115415756							
0.1561	39.22925402	0.084144124							
0.159	39.4163641	0.242628008							
0.159889938	39.35058453	0.114747058							
0.160861855	39.31917589	0.1186449							
0.163795895	39.39456306	0.113134872							
0.170628397	39.47490012	0.116376625							
0.172742231	39.50293614	0.113458016							
0.173910057	39.53194111	0.128967776							
0.177600695	40.07067585	0.124814155							
0.178	39.45479082	0.235746048							
0.179685641	39.72095995	0.11698488							
0.18011978	39.6385777	0.115560255							
0.181	39.68288852	0.227088514							
0.18221824	39.59381884	0.119334464							
0.182548913	39.78402156	0.114083137							
0.183568405	39.7107958	0.123775735							
0.185812447	39.82409758	0.120667757							
0.186	39.71216793	0.189043139							
0.188853175	39.79203749	0.119741861							
0.189706567	39.93956251	0.119682792							
0.19214998	40.03921788	0.121087443							
0.194316512	39.96152004	0.126373845							
0.196716069	39.92441738	0.134983154							
0.20061172	39.85239182	0.132867364							
0.20260868	39.96775926	0.128807331							
0.204979685	40.02450023	0.123526943							
0.205	39.90376943	0.217272004							
0.210938395	39.98393773	0.120818771							
0.211586982	40.56032369	0.159324734							
0.211629598	39.98010475	0.115235181							
0.212548765	40.08759328	0.131576963							
0.213	40.1090412	0.223352611							
0.214568259	40.20184967	0.116987446							
0.215	40.37805767	0.193933998							
0.215543321	40.29652942	0.140207657							
0.216	40.40490894	0.215211775							
0.216	40.5560466	0.244099861							
0.216582822	40.3602717	0.152479839							
0.218	40.07540742	0.222222738							
0.218347445	40.22084984	0.124421503							
0.218585189	40.19909746	0.117113951							
0.228528474	40.25443364	0.122011371							
0.232781107	40.20452909	0.151788368							
0.239	40.25912878	0.20416793							
0.24250468	40.13044655	0.150915057							
0.244378877	40.20193039	0.124309901							
0.248508131	40.27217468	0.125645589							
0.2486	40.61118534	0.154515955							
0.249511055	40.78092433	0.132323047							
0.250667631	40.74560303	0.12097096							
0.251740186	40.54172176	0.118440111							
0.25248606	40.51842108	0.145050196							
0.25549062	40.48594463	0.150967373							
0.256475743	40.6108439	0.156286225							
0.257497888	40.59416459	0.131393591							
0.257740304	40.6514784	0.135891056							
0.258028271	40.64467887	0.137108499							
0.26	40.82336577	0.199851736							
0.260533477	40.80813414	0.148279349							
0.260586108	40.52316768	0.141595052							
0.263	40.63467212	0.134567833							
0.263491027	40.76732261	0.12729308							
0.263647951	40.54817567	0.13982362							
0.26576248	40.49814992	0.124803942							
0.266	40.39070739	0.250227167							
0.269	40.77616173	0.256400639							
0.270434443	40.66898384	0.145477929							
0.271	40.53230207	0.215267001							
0.273454769	40.72715824	0.163668271							
0.274	40.72465065	0.208670921							
0.275440197	40.7433918	0.142941616							
0.277853423	40.83800845	0.168994208							
0.278	40.56624057	0.198452988							
0.278924676	40.76782977	0.130157044							
0.279454733	40.50128437	0.138724733							
0.284	40.83538258	0.206616021							
0.285	40.85424347	0.13659413							
0.286	41.21113084	0.258144621							
0.286618707	41.03840765	0.133800276							
0.288418345	40.84278536	0.149598782							
0.2912	40.83906428	0.146624503							
0.292469756	40.91904865	0.141400627							
0.29558555	41.1370597	0.215064876							
0.297518834	40.77220501	0.205185827							
0.298409274	41.06240023	0.215818596							
0.298777444	41.02935798	0.154536936							
0.300312696	40.84684819	0.151500986							
0.30175503	41.4938105	0.246761481							
0.302	41.31079828	0.27234655							
0.302401621	41.0332001	0.134910116							
0.308580866	40.90762171	0.177652783							
0.309	40.86077465	0.214863256							
0.309	41.17379571	0.235823876							
0.309492645	41.01819247	0.134960171							
0.309547337	41.19255672	0.154012333							
0.312883364	41.01444878	0.139506514							
0.314	41.23196804	0.242363894							
0.316429845	41.39507338	0.192866122							
0.320446989	41.10278514	0.134380311							
0.326396483	40.97230418	0.144388066							
0.329	41.34025673	0.269807401							
0.330512449	41.227939	0.156723683							
0.330634628	41.05225989	0.152699339							
0.331	41.07847005	0.137704767							
0.332	41.2554783	0.239903276							
0.3373	41.29449095	0.137240589							
0.338802609	41.30537188	0.170908368							
0.3396	41.08397338	0.226527941							
0.34	41.21317877	0.22819077							
0.34	41.08004325	0.231193988							
0.3402	41.32809153	0.135546197							
0.341	40.99151386	0.22450432							
